model,3,5,7
complete_pool,0.933,0.9399,1.6262
ets,0.2531,0.2405,0.4235
hb_anchored,0.3357,0.3041,0.5172
hb_mean,0.249,0.2337,0.4003
hist_mean,0.2562,0.243,0.2835
naive,0.2596,0.2605,0.6101
no_pool,0.2539,0.2384,0.4562
