date,exmn_ymd,item_cd,mrkt_cd,ctgry_cd,ctgry_nm,item_nm,price_type,split,log_price,price
2024-01-05,20240105,111,220023,100,식량작물,쌀,wholesale,train,10.723989755861389,45450.0
2024-01-08,20240108,111,220023,100,식량작물,쌀,wholesale,train,10.723989755861389,45450.0
2024-01-09,20240109,111,220023,100,식량작물,쌀,wholesale,train,10.723989755861389,45450.0
2024-01-10,20240110,111,220023,100,식량작물,쌀,wholesale,train,10.723989755861389,45450.0
2025-01-02,20250102,111,220023,100,식량작물,쌀,wholesale,test,10.780083490575526,48100.0
2025-01-03,20250103,111,220023,100,식량작물,쌀,wholesale,test,10.780083490575526,48100.0
2025-01-06,20250106,111,220023,100,식량작물,쌀,wholesale,test,10.780083490575526,48100.0
2025-01-07,20250107,111,220023,100,식량작물,쌀,wholesale,test,10.780083490575526,48100.0
2025-01-08,20250108,111,220023,100,식량작물,쌀,wholesale,test,10.780083490575526,48100.0
2025-01-09,20250109,111,220023,100,식량작물,쌀,wholesale,test,10.780083490575526,48100.0
2025-01-10,20250110,111,220023,100,식량작물,쌀,wholesale,test,10.780083490575526,48100.0
2025-01-13,20250113,111,220023,100,식량작물,쌀,wholesale,test,10.780083490575526,48100.0
2024-01-02,20240102,111,220024,100,식량작물,쌀,retail,train,10.545895148621145,40800.0
2025-01-02,20250102,111,220024,100,식량작물,쌀,retail,test,10.63093112882888,43300.0
2024-01-02,20240102,111,220403,100,식량작물,쌀,retail,train,10.65302277174116,44900.0
2025-01-02,20250102,111,220403,100,식량작물,쌀,retail,test,10.590886188612584,41400.0
2024-01-02,20240102,111,220404,100,식량작물,쌀,retail,train,10.685344199872201,46900.0
2025-01-02,20250102,111,220404,100,식량작물,쌀,retail,test,10.657248282125543,43900.0
2024-01-02,20240102,111,230036,100,식량작물,쌀,retail,train,10.62958126913062,42950.0
2025-01-02,20250102,111,230036,100,식량작물,쌀,retail,test,10.560544241178565,40450.0
2024-01-02,20240102,111,230401,100,식량작물,쌀,retail,train,10.685344199872201,46900.0
2025-01-02,20250102,111,230401,100,식량작물,쌀,retail,test,10.657248282125543,43900.0
2024-01-02,20240102,111,240121,100,식량작물,쌀,retail,train,10.881813675329736,53200.0
2024-01-02,20240102,111,240121,100,식량작물,쌀,wholesale,train,10.845446031158861,51300.0
2024-01-03,20240103,111,240121,100,식량작물,쌀,wholesale,train,10.845446031158861,51300.0
2024-01-04,20240104,111,240121,100,식량작물,쌀,wholesale,train,10.845446031158861,51300.0
2024-01-05,20240105,111,240121,100,식량작물,쌀,wholesale,train,10.845446031158861,51300.0
2024-01-08,20240108,111,240121,100,식량작물,쌀,wholesale,train,10.845446031158861,51300.0
2024-01-09,20240109,111,240121,100,식량작물,쌀,wholesale,train,10.845446031158861,51300.0
2024-01-10,20240110,111,240121,100,식량작물,쌀,wholesale,train,10.845446031158861,51300.0
2025-01-02,20250102,111,240121,100,식량작물,쌀,retail,test,10.833681189579275,50700.0
2025-01-02,20250102,111,240121,100,식량작물,쌀,wholesale,test,10.770588040219511,47600.0
2025-01-03,20250103,111,240121,100,식량작물,쌀,wholesale,test,10.770588040219511,47600.0
2025-01-06,20250106,111,240121,100,식량작물,쌀,wholesale,test,10.770588040219511,47600.0
2025-01-07,20250107,111,240121,100,식량작물,쌀,wholesale,test,10.770588040219511,47600.0
2025-01-08,20250108,111,240121,100,식량작물,쌀,wholesale,test,10.785186839640664,48300.0
2025-01-09,20250109,111,240121,100,식량작물,쌀,wholesale,test,10.791378809888585,48600.0
2025-01-10,20250110,111,240121,100,식량작물,쌀,wholesale,test,10.791378809888585,48600.0
