model,3,5,7
complete_pool,0.9465,0.951,1.6276
ets,0.2483,0.2318,0.3443
hb_anchored,0.2894,0.2699,0.3801
hb_mean,0.2467,0.2281,0.3365
hist_mean,0.2486,0.2304,0.2825
naive,0.2575,0.2579,0.5641
no_pool,0.248,0.2335,0.3054
