model,3,5,7
complete_pool,0.9464,0.9499,1.6429
ets,0.2309,0.2354,0.3154
hb_anchored,0.2386,0.2494,0.3527
hb_mean,0.2307,0.2336,0.333
hist_mean,0.2288,0.2276,0.278
naive,0.2389,0.2673,0.5608
no_pool,0.2308,0.2294,0.2823
