model,horizon,log_cov_90_t
complete_pool,1,0.6598
complete_pool,3,0.6601
complete_pool,7,0.6509
ets,1,0.6334
ets,3,0.7798
ets,7,0.3846
hb_anchored,1,0.8399
hb_anchored,3,0.8504
hb_anchored,7,0.5385
hb_mean,1,0.7059
hb_mean,3,0.8453
hb_mean,7,0.571
hist_mean,1,0.648
hist_mean,3,0.5334
hist_mean,7,0.2396
naive,1,0.8395
naive,3,0.8084
naive,7,0.3935
no_pool,1,0.3839
no_pool,3,0.6295
no_pool,7,0.3964
